Año,Meses,Departamento,Provincia,Distrito,Conglomerado,Estratos,Geografico,Visitas,TEM,TNR_Historica_Cong,TNR_Historica_Distrito,TNR_Historica_Departamento,N_HOGAR,TotalPersHogar,TotalMuj12_49,TotalMen_12,TotalMen_6,TotalMen_5,TotalMen_3,DuracionPromedio,TNR,TNR_ALTA,Altitud,Latitud,Longitud
2022,abr,Arequipa,Arequipa,Yura,215,Medio Bajo,Sierra Sur,1.3,10.0,4.44444444444444,4.44444444444444,4.44444444444444,10,29,10.0,7.0,6.0,6.0,3.0,13.6,0.0,0,2672.77,-16.306888833333335,-71.61266333333333
2022,abr,Arequipa,Castilla,Pampacolca,3330,Rural,Sierra Sur,1.8,6.66666666666667,8.0,8.0,8.0,15,57,20.0,20.0,13.0,12.0,10.0,102.4,0.0,0,2924.76,-15.716166222222222,-72.5720338888889
2022,abr,Arequipa,Islay,Islay,3328,Bajo,Costa Sur,1.0,0.0,5.0,5.0,5.0,10,36,13.0,12.0,8.0,8.0,4.0,18.8,0.0,0,106.5,-16.996687666666666,-72.095765
2022,abr,Ayacucho,Huamanga,Acocro,280,Rural,Sierra Centro,1.0,26.6666666666667,6.07638032421853,6.07638032421853,6.07638032421853,15,46,11.0,13.0,9.0,7.0,3.0,18.6,0.0,0,3682.2733333333326,-13.33900077777778,-73.99196777777779
2022,abr,Ayacucho,Huamanga,Andrés Avelino Cáceres Dorregaray,242,Medio,Sierra Centro,1.1,20.0,0.0,0.0,0.0,10,30,10.0,9.0,7.0,6.0,2.0,15.6,0.0,0,2760.51,-13.169271,-74.20487866666667
2022,abr,Ayacucho,Huamanga,Ayacucho,238,Bajo,Sierra Centro,1.1,0.0,0.0,0.0,0.0,10,42,10.0,16.0,9.0,9.0,4.0,18.9,0.0,0,2898.68,-13.152715833333328,-74.23474916666666
2022,abr,Ayacucho,Huamanga,Ayacucho,239,Medio Alto,Sierra Centro,1.0,0.0,0.0,0.0,0.0,10,38,9.0,10.0,7.0,7.0,6.0,17.0,0.0,0,2808.9100000000003,-13.160515,-74.23150833333332
2022,abr,Ayacucho,Huamanga,Carmen Alto,245,Medio Bajo,Sierra Centro,1.3,0.0,0.0,0.0,0.0,10,44,13.0,12.0,7.0,7.0,3.0,18.9,0.0,0,2841.6599999999994,-13.175599166666668,-74.2196625
2022,abr,Ayacucho,Huanta,Huanta,3340,Medio Bajo,Sierra Centro,1.0,10.0,0.0,0.0,0.0,10,34,10.0,11.0,8.0,7.0,4.0,19.2,0.0,0,2617.3900000000003,-12.944438,-74.24870966666667
2022,abr,Ayacucho,Huanta,Huanta,3344,Bajo,Sierra Centro,1.0,10.0,0.0,0.0,0.0,10,35,12.0,11.0,7.0,5.0,2.0,16.6,0.0,0,2619.73,-12.9286925,-74.2601725
